,store_id,store_id_only_num,store_name,booking,receipt,blog,total
2927,s38337518,38337518,부부샵,1.0,1.0,1.0,3.0
2928,s38407656,38407656,오드리헤어샵,1.0,1.0,1.0,3.0
2929,s31728769,31728769,이영애헤어샵,1.0,1.0,1.0,3.0
2930,s1074762252,1074762252,리즈스타일헤어,1.0,1.0,1.0,3.0
2931,s1399770197,1399770197,가인헤어,1.0,1.0,1.0,3.0
2932,s38431367,38431367,안나헤어,1.0,1.0,1.0,3.0
2933,s36688070,36688070,소담헤어,1.0,1.0,1.0,3.0
2934,s1059253249,1059253249,에스에비뉴,1.0,1.0,1.0,3.0
2935,s1047217423,1047217423,봄날헤어,1.0,1.0,1.0,3.0
2936,s565775339,565775339,이찬헤어랜드,1.0,1.0,1.0,3.0
2937,k17994603,17994603,한미용실,1.0,1.0,1.0,3.0
2938,s1487885808,1487885808,레드헤어 2호점,1.0,1.0,1.0,3.0
2939,s122299568,122299568,메씨헤어,1.0,1.0,1.0,3.0
2940,s13126652,13126652,헤어엔조이,1.0,1.0,1.0,3.0
2941,s1656216436,1656216436,stylist br,1.0,1.0,1.0,3.0
2942,s31395139,31395139,클레오미용실,1.0,1.0,1.0,3.0
2943,s1082367825,1082367825,ennismore hair,1.0,1.0,1.0,3.0
2944,s34351685,34351685,미사랑헤어모드,1.0,1.0,1.0,3.0
2945,s1566271971,1566271971,준헤어,1.0,1.0,1.0,3.0
2946,s1661800909,1661800909,헤어블러썸,1.0,1.0,1.0,3.0
2947,s1185121884,1185121884,수헤어샾,1.0,1.0,1.0,3.0
2948,s1769847482,1769847482,나은헤어,1.0,1.0,1.0,3.0
2949,s724236432,724236432,아예쁘다,1.0,1.0,1.0,3.0
2950,s663186242,663186242,택시헤어 신대방삼거리점,1.0,1.0,1.0,3.0
2951,s41709709,41709709,정상헤어,1.0,1.0,1.0,3.0
2952,s35262034,35262034,이경머리방,1.0,1.0,1.0,3.0
2953,s1759497207,1759497207,카미미용실,1.0,1.0,1.0,3.0
2954,s331227796,331227796,마영랑헤어,1.0,1.0,1.0,3.0
2955,s1071707000,1071707000,마이더스 바이 문,1.0,1.0,1.0,3.0
2956,s1679696125,1679696125,머리에반하다,1.0,1.0,1.0,3.0
2957,s291909025,291909025,이엘헤어,1.0,1.0,1.0,3.0
2958,s1248400841,1248400841,춘자네미용실,1.0,1.0,1.0,3.0
2959,s151188521,151188521,비숍헤어,1.0,1.0,1.0,3.0
2960,s1374135355,1374135355,비단미용실,1.0,1.0,1.0,3.0
2961,s463211775,463211775,사라헤어,1.0,1.0,1.0,3.0
